id,date,lon,lat,logit_g,g,type,bathymetry,current_velocity,mixed_layer_depth,temperature,rep,presence
M-111,2018-04-15T22:00:00Z,73.34873928139012,2.3939565204287017,3.5510462004582557,0.9974168674037512,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-111,2018-04-16T22:00:00Z,73.36815114323147,2.354311522433049,3.551046200090951,0.9974168673908248,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-111,2018-04-17T22:00:00Z,73.37942753272704,2.3274221350378017,3.5332540305417393,0.9967854175088964,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-111,2018-04-18T22:00:00Z,73.37041056691935,2.3341778319847073,3.550310214021819,0.9973909567207128,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-111,2018-04-19T22:00:00Z,73.32904172611931,2.3952582091008576,3.6271163021437367,1,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-111,2018-04-20T22:00:00Z,73.20697355321936,2.5927296950549943,3.444800078627277,0.9934841685638068,occurrence,-333.3732604980469,0.11779755353927612,16.92655372619629,29.169307708740234,NA,1
M-111,2018-04-21T22:00:00Z,73.15917499403578,3.0110200038573676,-0.6315730811667913,0.1863112433532402,occurrence,-238.44618225097656,0.04555489495396614,15.512297630310059,29.104379653930664,NA,1
M-111,2018-04-22T22:00:00Z,72.99036198206245,3.103195709808786,0.7709851295939147,0.6231480021960847,occurrence,-50.78125,0.031125638633966446,10.550480842590332,29.12936782836914,NA,1
M-111,2018-04-23T22:00:00Z,72.95274982018474,3.214346772367085,1.981812322195051,0.8764144899775843,occurrence,-50.78125,0.031125638633966446,10.550480842590332,29.12936782836914,NA,1
M-111,2018-04-24T22:00:00Z,72.91286799604013,3.441412693431867,2.3670088056180405,0.9223622849998104,occurrence,-126.06771087646484,0.02124009281396866,14.670348167419434,29.098600387573242,NA,1
M-111,2018-04-25T22:00:00Z,72.89489373910997,3.660361498135761,1.0222763935770227,0.6902242274899724,occurrence,-12.987847328186035,0.034128203988075256,9.455531120300293,29.19495391845703,NA,1
M-111,2018-04-26T22:00:00Z,72.97990091008596,3.683493899180237,0.8303511473196973,0.6396247265857249,occurrence,-12.987847328186035,0.034128203988075256,9.455531120300293,29.19495391845703,NA,1
M-111,2018-04-27T22:00:00Z,73.07779238824139,3.633560464075924,2.338806206082205,0.9194597909244496,occurrence,-398.5486145019531,0.040139857679605484,17.468175888061523,29.10699462890625,NA,1
M-111,2018-04-28T22:00:00Z,73.12555309982595,3.48810447657044,3.2484673662297734,0.985102935456213,occurrence,-398.5486145019531,0.040139857679605484,17.468175888061523,29.10699462890625,NA,1
M-111,2018-04-29T22:00:00Z,72.80028355182142,3.424097318274924,2.480040443523716,0.9333344233368036,occurrence,-126.06771087646484,0.02124009281396866,14.670348167419434,29.098600387573242,NA,1
M-111,2018-04-30T22:00:00Z,72.72443829396433,3.4844154358288413,-1.3254619595109547,0.00818790737143922,occurrence,-351.35589599609375,0.07063709944486618,14.7969331741333,29.12239646911621,NA,1
M-111,2018-05-01T22:00:00Z,72.83871692478422,3.46226437353444,-1.3639302942201126,0,occurrence,-65.05208587646484,0.03167356923222542,12.031608581542969,29.143245697021484,NA,1
M-129,2017-12-08T21:00:00Z,73.3556958697782,2.401789807354696,-0.9734418793996612,0.9690400939262364,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-129,2017-12-09T21:00:00Z,73.21486230778058,2.2136476744735396,-0.9736236085168682,0.8266538210337103,occurrence,-1025.1961669921875,0.11463519185781479,17.198625564575195,29.18339729309082,NA,1
M-129,2017-12-10T21:00:00Z,73.22059468225233,1.7173647224363002,-0.9734646312275704,0.9512132077986412,occurrence,-788.986083984375,0.12930190563201904,17.82221031188965,29.192564010620117,NA,1
M-129,2017-12-11T21:00:00Z,73.54256337919013,1.92924019508065,-0.9734023669157283,1,occurrence,NA,NA,NA,NA,NA,1
M-129,2017-12-12T21:00:00Z,73.55655414019446,1.8818206372337585,-0.9746789704747824,0,occurrence,NA,NA,NA,NA,NA,1
M-130,2017-03-28T20:00:00Z,73.34894494370523,2.3948831303635174,1.1608605160887808,0.6711750450540888,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-03-29T20:00:00Z,73.35891397849437,2.395803549367238,1.1608605160887808,0.6711750450540888,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-03-30T20:00:00Z,73.3637829699937,2.397648987984484,1.1600229399489426,0.6709594535085547,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-03-31T20:00:00Z,73.36253000763554,2.3942219828850577,1.1601674720224315,0.670996662708759,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-04-01T20:00:00Z,73.36055236061989,2.384715852919454,1.1606733787676946,0.6711268842216043,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-04-02T20:00:00Z,73.35784126645538,2.377687528360415,1.158208480495906,0.6704920890963443,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
M-130,2017-04-03T20:00:00Z,73.35414727871611,2.379036098786503,1.155746800776086,0.6698573071339997,occurrence,-199.82986450195312,0.026681996881961823,14.106757164001465,29.211578369140625,NA,1
