"ANIMALID","DATE","LONGITUDE","LATITUDE","ARGOSCLASS"
"M-130","2017-05-24 19:28:31.000","73.01309","3.2926","0"
"M-130","2017-05-24 21:46:56.000","72.94988","3.32662","3"
"M-130","2017-05-24 22:41:09.000","72.94714","3.33965","A"
"M-130","2017-05-25 23:08:18.000","72.95538","3.28707","0"
"M-130","2017-05-28 07:41:17.000","72.80398","3.26989","B"
"M-130","2017-05-28 21:23:49.000","72.9754","3.30182","2"
"M-130","2017-05-28 22:02:20.000","72.98253","3.30354","2"
"M-130","2017-05-29 20:55:58.000","72.94629","3.32272","0"
"M-130","2017-05-29 21:42:07.000","72.97533","3.31535","3"
"M-130","2017-05-30 19:59:51.000","72.97613","3.30156","2"
"M-130","2017-05-30 21:28:13.000","72.97155","3.31272","3"
"M-130","2017-06-03 18:56:42.000","72.9649","3.63401","3"
"M-130","2017-06-03 18:56:42.000","72.9649","3.63401","3"
"M-130","2017-06-03 21:48:57.000","72.9775","3.6713","B"
"M-130","2017-06-04 19:00:55.000","72.95939","3.59361","0"
"M-130","2017-06-04 19:05:14.000","72.95989","3.59353","B"
"M-130","2017-06-05 02:38:18.000","72.97604","3.6156","B"
"M-130","2017-06-05 18:38:57.000","73.07505","3.58702","0"
"M-130","2017-06-05 18:38:57.000","73.07505","3.58702","0"
"M-130","2017-06-05 21:05:31.000","73.03239","3.62532","B"
"M-130","2017-06-06 04:14:35.000","73.01858","3.63269","B"
"M-130","2017-06-06 04:53:40.000","72.93576","3.53721","A"
"M-130","2017-06-06 18:37:19.000","72.86986","3.48743","1"
"M-130","2017-06-06 19:00:03.000","72.87385","3.48946","1"
"M-130","2017-06-07 03:58:33.000","72.88368","3.48587","B"
"M-130","2017-06-07 16:49:29.000","72.83675","3.44079","A"
"M-130","2017-06-07 19:22:21.000","72.80759","3.45846","2"
"M-130","2017-06-08 03:43:59.000","72.81738","3.47001","1"
"M-130","2017-06-08 04:44:11.000","72.80434","3.46463","B"
"M-130","2017-06-08 19:02:11.000","72.81191","3.4716","B"
"M-130","2017-06-09 19:13:46.000","72.74293","3.51137","A"
"M-130","2017-06-09 20:32:18.000","72.72824","3.4948","B"
"M-130","2017-06-09 21:15:15.000","72.66103","3.49198","0"
"M-130","2017-06-10 19:30:51.000","72.80478","3.46701","1"
"M-130","2017-06-10 19:46:50.000","72.80482","3.46696","B"
"M-130","2017-06-11 19:20:15.000","72.79361","3.46969","3"
"M-130","2017-06-11 19:25:11.000","72.79188","3.46375","2"
"M-130","2017-06-11 19:46:54.000","72.79069","3.46052","1"
"M-130","2017-06-11 20:37:42.000","72.80771","3.47524","2"
"M-130","2017-06-12 18:54:54.000","72.69792","3.69389","3"
"M-130","2017-06-12 19:07:25.000","72.70892","3.69145","3"
"M-130","2017-06-12 19:17:57.000","72.70607","3.69841","2"
"M-130","2017-06-12 20:16:56.000","72.70643","3.69049","1"
"M-130","2017-06-15 07:28:31.000","72.67786","3.71724","A"
"M-130","2017-06-15 19:23:43.000","72.7828","3.57495","B"
"M-130","2017-06-15 19:23:43.000","72.80246","3.54225","B"
"M-130","2017-06-15 20:12:40.000","72.80859","3.53701","B"
"M-130","2017-06-16 03:55:24.000","72.90895","3.56332","B"
"M-130","2017-06-16 22:09:26.000","72.96319","3.79896","A"
"M-130","2017-06-16 22:09:26.000","72.96319","3.79896","A"
"M-130","2017-06-17 18:40:05.000","72.93048","3.54153","A"
"M-130","2017-06-17 19:51:57.000","72.95473","3.52753","B"
"M-130","2017-06-17 20:12:57.000","72.92736","3.52796","0"
"M-130","2017-06-17 21:12:46.000","72.93704","3.52204","B"
"M-130","2017-06-17 21:48:46.000","72.93407","3.53979","A"
"M-130","2017-06-17 22:43:45.000","72.94032","3.54339","B"
