species,common_name,date_time,lon,lat
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.989233,0.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.989233,0.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.721007,0.50305
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.972537,0.40243
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.9558,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.9558,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.083913,-1.20128
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.167667,0.1006
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.217967,2.972527
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.9557,2.335333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,64.45275,-3
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.788083,-3.721067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.788083,-3.721067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.2516,-12.469477
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.486333,-9.335393
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.285133,-10.3019
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.0001,-11.821567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.9055,-12.016867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,69.335333,-4.570167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.419267,-11.385633
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.335333,-9.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,71.385633,-7.385683
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.067167,-6.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.067167,-6.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.067167,-6.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.067167,-6.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.570067,-6.4024
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.570067,-6.4024
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.586933,-6.318567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.586933,-6.318567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.469467,-5.8048
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.6037,-2.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.6037,-2.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.6037,-2.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.620417,9.788033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.620417,9.788033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,65.10064,3.10064
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.05031,1.788033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.972527,1.1509
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.972527,1.1509
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.972527,1.1509
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.033543,7.25158
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.033533,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,62.536573,4.234813
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,66.218017,6.335383
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.385653,5.871877
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.385653,5.871877
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.637203,6.167727
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.838383,5.167747
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.60368,4.8048
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.00005,0.368907
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.335333,0.419167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.016837,0.268337
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.20127,0.419247
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.20127,0.419247
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.20127,0.419247
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.25153,0.503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,43.469567,-28.503
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,41.184533,-27.5534
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,41.335333,-27.385733
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.419267,-25.972567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,61.888633,-24.5534
