pa,lon,lat,bathymetry,current_velocity,mixed_layer_depth,temperature,test_train
1,51.566803,0.733472,-5116.47216796875,0.08981329947710037,17.526927947998047,27.69501304626465,train
1,52.816803,1.216806,-5111.1943359375,0.06858726590871811,17.746780395507812,27.881013870239258,train
1,52.866802,2.750139,-5119.388671875,0.06132416054606438,19.630447387695312,27.74317741394043,train
1,61.716805,-4.733472,-3067.72216796875,0.17976641654968262,20.180213928222656,28.48647689819336,train
1,90,10,-3342.361083984375,0.024327345192432404,21.491085052490234,28.707489013671875,test
1,42.5,-20,-2183.388916015625,0.11708161234855652,21.292621612548828,27.747770309448242,train
1,51.450138,1.400139,-5104.638671875,0.05813239887356758,17.748807907104492,27.595827102661133,train
1,51.53347,1.633472,-5134.138671875,0.04599001631140709,17.902650833129883,27.583616256713867,train
1,51.633472,1.716806,-5149.66650390625,0.038473114371299744,17.93829345703125,27.592065811157227,test
1,48.98347,-2.133472,-4537.111328125,0.1279682219028473,16.784196853637695,27.698970794677734,train
1,52.300137,-1.800139,-5214.66650390625,0.02470702864229679,17.67802619934082,28.09952735900879,train
1,52.366802,-1.666806,-5150.638671875,0.037496618926525116,17.604623794555664,28.09880256652832,train
1,53.350136,-3.250139,-4213.52783203125,0.16369958221912384,19.469860076904297,28.1943416595459,train
1,46.566803,-2.700139,-4762.1943359375,0.032513249665498734,16.76763343811035,27.47534942626953,train
1,46.566803,-2.700139,-4762.1943359375,0.032513249665498734,16.76763343811035,27.47534942626953,train
1,46.566803,-2.700139,-4762.1943359375,0.032513249665498734,16.76763343811035,27.47534942626953,test
1,46.566803,-2.700139,-4762.1943359375,0.032513249665498734,16.76763343811035,27.47534942626953,test
1,54.43347,-1.300139,-4644.0556640625,0.0627337396144867,17.54121208190918,28.35675621032715,train
1,54.43347,-1.300139,-4644.0556640625,0.0627337396144867,17.54121208190918,28.35675621032715,train
1,50.33347,-2.466806,-5077.08349609375,0.04034414514899254,17.400392532348633,27.869600296020508,test
1,50.33347,-2.466806,-5077.08349609375,0.04034414514899254,17.400392532348633,27.869600296020508,train
1,50.33347,-2.466806,-5077.08349609375,0.04034414514899254,17.400392532348633,27.869600296020508,train
1,50.33347,-2.466806,-5077.08349609375,0.04034414514899254,17.400392532348633,27.869600296020508,train
1,50.33347,-2.466806,-5077.08349609375,0.04034414514899254,17.400392532348633,27.869600296020508,test
1,40.788083,-12.217997,-803.888916015625,0.4575262665748596,24.977148056030273,27.563608169555664,train
1,41.85513,-15.016817,-2742.6943359375,0.1348109245300293,24.325092315673828,27.78158187866211,train
1,34.285133,-26.3521,-837.08331298828125,0.36183178424835205,26.742795944213867,25.330629348754883,train
1,36.033563,-24.938953,-1828.111083984375,0.2829878628253937,25.860830307006836,25.65970802307129,train
1,56.285133,0.419167,-4569.91650390625,0.1459532380104065,18.7229061126709,28.570331573486328,test
1,101.234733,-7.5031,-5467.58349609375,0.09881160408258438,22.328853607177734,28.335750579833984,train
1,101.234733,-7.5031,-5467.58349609375,0.09881160408258438,22.328853607177734,28.335750579833984,train
1,101.234733,-7.5031,-5467.58349609375,0.09881160408258438,22.328853607177734,28.335750579833984,train
1,99.838333,-7.016867,-4900.138671875,0.06369420886039734,22.900419235229492,28.42058753967285,train
1,99.838333,-7.016867,-4900.138671875,0.06369420886039734,22.900419235229492,28.42058753967285,train
1,99.838393,-5.486303,-5302.1943359375,0.05724676698446274,23.84844398498535,28.762020111083984,train
1,99.771347,-6.469487,-4602.361328125,0.04119858145713806,22.815189361572266,28.52383041381836,test
1,99.771347,-6.469487,-4602.361328125,0.04119858145713806,22.815189361572266,28.52383041381836,train
1,99.067067,-5.838333,-5401.138671875,0.04247559607028961,23.551891326904297,28.674013137817383,train
1,98.2013,-5.536543,-4960.1943359375,0.04493730515241623,23.962926864624023,28.728742599487305,train
1,98.2013,-5.536543,-4960.1943359375,0.04493730515241623,23.962926864624023,28.728742599487305,train
1,90.586853,-7.65397,-5307.41650390625,0.1235240250825882,23.52383804321289,28.337074279785156,train
1,91.620467,-5.134133,-4941.16650390625,0.08054092526435852,23.227476119995117,28.828813552856445,train
1,93.033583,-3.687533,-4839.5,0.06785660982131958,24.017723083496094,29.08418083190918,train
1,91.871947,-4.0503,-4905.138671875,0.08585163205862045,23.617069244384766,29.01699447631836,train
1,91.871947,-4.0503,-4905.138671875,0.08585163205862045,23.617069244384766,29.01699447631836,train
1,90.888663,-4.2013,-5081.58349609375,0.09019418060779572,22.703777313232422,28.98114585876465,train
