id,model,rep,date,lon,lat,x,y
M-111,crw,0,2018-04-15T22:00:00Z,73.34906659999997,2.3932833300000453,8165.180744073908,264.7135907100983
M-111,crw,0,2018-04-16T22:00:00Z,73.3691732267859,2.3528536970224416,8167.419003529288,260.2392247157848
M-111,crw,0,2018-04-17T22:00:00Z,73.38761811049294,2.3116614088085767,8169.472278591295,255.68059050316015
M-111,crw,0,2018-04-18T22:00:00Z,73.38085942011588,2.3131385959369486,8168.719904620093,255.84406429920102
M-111,crw,0,2018-04-19T22:00:00Z,73.32577472786816,2.39986582513492,8162.5879047285725,265.44209105927484
M-111,crw,0,2018-04-20T22:00:00Z,73.20877294158778,2.5975159893020385,8149.563325457937,287.31820334749204
M-111,crw,0,2018-04-21T22:00:00Z,73.16962394282477,3.078954383752718,8145.205278850572,340.61932206756404
M-111,crw,0,2018-04-22T22:00:00Z,72.97233547191752,3.08913852583767,8123.243226729794,341.74708137169745
M-111,crw,0,2018-04-23T22:00:00Z,72.95409083514552,3.214253281294643,8121.212243054627,355.60279478215796
M-111,crw,0,2018-04-24T22:00:00Z,72.9018342841918,3.4208386220649705,8115.395070411846,378.4846907973203
M-111,crw,0,2018-04-25T22:00:00Z,72.89315094442115,3.6678476380628853,8114.428445450192,405.8505983578854
M-111,crw,0,2018-04-26T22:00:00Z,73.08665263061444,3.823045294260818,8135.968954624869,423.0486955059637
M-111,crw,0,2018-04-27T22:00:00Z,73.23327942199475,3.786805079814663,8152.291374377976,419.0324891833558
M-111,crw,0,2018-04-28T22:00:00Z,73.12566617911578,3.487485683336741,8140.311922978076,385.8677334789899
M-111,crw,0,2018-04-29T22:00:00Z,72.7842166627553,3.4268682976766516,8102.301936685219,379.1526259618766
M-111,crw,0,2018-04-30T22:00:00Z,72.71920676768322,3.488061119462458,8095.0650682692685,385.93148156234963
M-111,crw,0,2018-05-01T22:00:00Z,72.83945500524676,3.4625145309171015,8108.451040843632,383.1014121272423
M-111,crw,2,2018-04-15T22:00:00Z,73.34906659999997,2.3932833300000453,8165.180744073908,264.7135907100983
M-111,crw,2,2018-04-16T22:00:00Z,73.19984769912057,2.350933738408986,8148.56977201128,260.02674530439134
M-111,crw,2,2018-04-17T22:00:00Z,72.8823090764987,2.632113484168732,8113.221534233817,291.1478370370926
M-111,crw,2,2018-04-18T22:00:00Z,72.71172597097866,2.726002217694698,8094.23230978939,301.5410282637621
M-111,crw,2,2018-04-19T22:00:00Z,72.50510337033852,2.4928926444306816,8071.231187099747,275.73797445695755
M-111,crw,2,2018-04-20T22:00:00Z,72.55247686784519,2.2215316799377836,8076.504780719286,245.7066522152596
M-111,crw,2,2018-04-21T22:00:00Z,72.64720436604618,2.134079029766015,8087.049797583142,236.0295546641918
M-111,crw,2,2018-04-22T22:00:00Z,72.80634742948628,2.083112948974682,8104.765522368576,230.3901473994017
M-111,crw,2,2018-04-23T22:00:00Z,72.8490668470264,1.9065074923860283,8109.521026176128,210.85011910995007
M-111,crw,2,2018-04-24T22:00:00Z,72.99171963586014,1.896068593100845,8125.401061989338,209.69520105708568
M-111,crw,2,2018-04-25T22:00:00Z,72.9475712853176,2.168023897086324,8120.48649008758,239.7856659963734
M-111,crw,2,2018-04-26T22:00:00Z,72.9395943857385,2.471647325465121,8119.5985056883255,273.3865527789437
M-111,crw,2,2018-04-27T22:00:00Z,72.93096323670385,2.5973288711145748,8118.637690572828,287.2974913256212
M-111,crw,2,2018-04-28T22:00:00Z,72.97728708930151,2.661665071659399,8123.794438255583,294.41901909860377
M-111,crw,2,2018-04-29T22:00:00Z,73.07119097847145,2.3905922938174364,8134.247771381488,264.4157683744266
M-111,crw,2,2018-04-30T22:00:00Z,72.99975684671047,2.1554061003082245,8126.295760208595,238.38945534150278
M-111,crw,2,2018-05-01T22:00:00Z,73.09568307829419,2.400638310467092,8136.974219462212,265.52758407605353
M-111,crw,3,2018-04-15T22:00:00Z,73.34906659999997,2.3932833300000453,8165.180744073908,264.7135907100983
M-111,crw,3,2018-04-16T22:00:00Z,73.50234252426932,2.4140457438953606,8182.24334191444,267.0114283897348
M-111,crw,3,2018-04-17T22:00:00Z,73.5205141348623,2.476269370217403,8184.2661963525425,273.8981152101463
M-111,crw,3,2018-04-18T22:00:00Z,73.49501486904362,2.7506807669840354,8181.427631066006,304.2730022604221
M-111,crw,3,2018-04-19T22:00:00Z,73.2154785136741,2.5542984490569864,8150.309786328064,282.53455679452264
M-111,crw,3,2018-04-20T22:00:00Z,73.16743712214479,2.6990534672130226,8144.961843086021,298.5578024376401
M-111,crw,3,2018-04-21T22:00:00Z,72.88798113805915,2.927924953129248,8113.852945238472,323.8960690897156
M-111,crw,3,2018-04-22T22:00:00Z,72.62722436628181,2.6256393217979705,8084.825634183322,290.431196933042
M-111,crw,3,2018-04-23T22:00:00Z,72.43580881170148,2.4879196827809555,8063.5173521175275,275.1875660188208
M-111,crw,3,2018-04-24T22:00:00Z,72.3846644454779,2.33750825343566,8057.823987312575,258.54097198720984
M-111,crw,3,2018-04-25T22:00:00Z,72.16196509596396,2.068441403287137,8033.033209124689,228.7667723419924
M-111,crw,3,2018-04-26T22:00:00Z,72.15871895419497,2.023557928795164,8032.671850275921,223.800606176162
M-111,crw,3,2018-04-27T22:00:00Z,71.94502922287712,1.7574579389674008,8008.884018197867,194.36052689412972
M-111,crw,3,2018-04-28T22:00:00Z,71.74057277145408,1.4709309868346672,7986.124030136056,162.66523711524508
M-111,crw,3,2018-04-29T22:00:00Z,71.73371434388118,1.7623498809751463,7985.360553470997,194.9017085315119
